member_id,first_name,last_name,date_of_birth,ssn_last4,zip,plan_code
MEMBER_A_00065,John,Leblanc,1969-03-31,2621,89193,PPO_GOLD
MEMBER_A_00066,Michelle,Pierce,1943-05-04,6916,78173,MEDICARE_A
MEMBER_A_00067,Yvette,Huff,2003-12-14,1040,50433,EPO_BRONZE
MEMBER_A_00068,Sara,Allison,1950-12-23,6252,78105,HMO_SILVER
MEMBER_A_00069,Todd,Lewis,1966-06-20,7668,69353,EPO_BRONZE
MEMBER_A_00070,Brian,Gray,2005-01-10,4119,72513,HMO_SILVER
MEMBER_A_00071,Joseph,Bowers,1970-01-11,0188,89167,MEDICARE_A
MEMBER_A_00072,Rodney,Bernard,2005-09-11,1876,89354,HMO_SILVER
MEMBER_A_00073,Angela,Higgins,1950-03-20,8797,98420,PPO_GOLD
MEMBER_A_00074,Kenneth,Novak,1978-03-23,4371,84013,MEDICARE_A
MEMBER_A_00075,Amy,Adkins,1943-10-10,5573,14622,PPO_GOLD
MEMBER_A_00076,Breanna,Shaw,1996-04-11,4808,56986,EPO_BRONZE
MEMBER_A_00077,Eric,Yu,1945-04-15,2591,59471,EPO_BRONZE
MEMBER_A_00078,Jacob,Larson,1984-07-24,0053,94647,MEDICARE_A
MEMBER_A_00079,Joe,Wilson,1998-10-04,4315,65613,MEDICARE_A
MEMBER_A_00080,John,Wheeler,1980-11-16,2927,66543,MEDICARE_A
MEMBER_A_00081,Robert,Silva,1974-07-03,1743,81960,EPO_BRONZE
MEMBER_A_00082,Sarah,Harris,1987-04-08,4889,83749,HMO_SILVER
MEMBER_A_00083,John,Foster,1984-04-30,8317,79819,MEDICARE_A
MEMBER_A_00084,Kevin,Stewart,1989-08-15,3258,20033,EPO_BRONZE
MEMBER_A_00085,Charles,Ellis,2005-11-23,6126,99944,MEDICARE_A
MEMBER_A_00086,Wendy,Jones,1954-01-25,2646,70698,PPO_GOLD
MEMBER_A_00087,Joseph,Mahoney,02/19/1998,8689,00075,PPO_GOLD
MEMBER_A_00088,Natasha,Wood,05/30/1950,9813,42488,PPO_GOLD
MEMBER_A_00089,Martha,Warner,1980-05-15,8005,02553,EPO_BRONZE
MEMBER_A_00090,Vanessa,Valdez,1940-07-07,1832,47577,HMO_SILVER
MEMBER_A_00091,Lisa,Evans,1983-10-13,5038,31386,HMO_SILVER
MEMBER_A_00092,Sheila,Taylor,1947-08-14,0949,31572,MEDICARE_A
MEMBER_A_00093,Daniel,Tran,1957-12-22,9295,10323,MEDICARE_A
MEMBER_A_00094,Cassandra,Robbins,1953-06-08,1403,95933,HMO_SILVER
MEMBER_A_00095,Cynthia,Baker,1972-03-29,7962,09072,HMO_SILVER
MEMBER_A_00096,Rebecca,Mathis,1946-02-02,8727,16484,MEDICARE_A
MEMBER_A_00097,Rodney,Hill,1940-03-26,2103,86475,EPO_BRONZE
MEMBER_A_00098,Kellie,Walsh,1957-04-15,7787,72064,HMO_SILVER
MEMBER_A_00099,Joyce,Arnold,1968-03-23,2705,34742,PPO_GOLD
MEMBER_A_00100,Alec,Jones,1998-04-14,8645,79508,MEDICARE_A
MEMBER_A_00101,Rebecca,Gardner,1995-01-30,6932,27761,HMO_SILVER
MEMBER_A_00102,Brandi,Hernandez,1948-05-30,8835,98995,EPO_BRONZE
MEMBER_A_00103,Kyle,Nolan,1992-07-17,3295,93448,MEDICARE_A
MEMBER_A_00104,Michelle,Nolan,1953-11-12,5107,52297,PPO_GOLD
MEMBER_A_00105,John,Garcia,1991-06-27,6118,57423,MEDICARE_A
MEMBER_A_00106,Nicole,Russell,1980-12-17,8479,59178,HMO_SILVER
MEMBER_A_00107,Eric,Spears,1997-01-23,1982,32494,MEDICARE_A
MEMBER_A_00108,Theresa,Cochran,1998-03-04,3681,08393,EPO_BRONZE
MEMBER_A_00109,Angel,Doyle,1961-12-03,5539,02758,PPO_GOLD
MEMBER_A_00110,Sarah,Pham,1997-01-10,9638,72604,PPO_GOLD
MEMBER_A_00111,Lisa,Adams,1991-12-19,3770,77129,HMO_SILVER
MEMBER_A_00112,Daniel,Brennan ,1996-08-31,3608,00943,MEDICARE_A
MEMBER_A_00113,Jeffrey,Velasquez,05/19/1970,1163,92779,PPO_GOLD
MEMBER_A_00114,Kevin,Pope,1955-01-08,0964,30008,MEDICARE_A
MEMBER_A_00115,Andrew,Lee,1961-08-31,1104,04118,HMO_SILVER
MEMBER_A_00116,Michelle,Rasmussen,1958-06-03,5413,09288,MEDICARE_A
MEMBER_A_00117,Darlene,Ross,2004-10-02,8423,31196,HMO_SILVER
MEMBER_A_00118,Amanda,Crosby,1947-08-12,4562,87685,PPO_GOLD
MEMBER_A_00119,Tara,White,2003-07-11,7953,28081,PPO_GOLD
MEMBER_A_00120,Joseph,Rodriguez,1968-09-05,8834,17343,EPO_BRONZE
MEMBER_A_00121,Jessica,Edwards,1980-01-04,9355,75526,PPO_GOLD
MEMBER_A_00122,William,Cruz,1978-01-20,7744,31851,EPO_BRONZE
MEMBER_A_00123,Jonathan,Fletcher,1940-02-10,7749,53355,PPO_GOLD
MEMBER_A_00124,Sara,ryan,1987-06-25,3119,12364,HMO_SILVER
MEMBER_A_00125,Judy,Lambert,1964-01-14,1588,86375,HMO_SILVER
MEMBER_A_00126,Chad,Beck,1961-10-16,7062,46439,EPO_BRONZE
MEMBER_A_00127,Lee,Charles,1987-07-03,6939,53884,PPO_GOLD
MEMBER_A_00128,Kevin,Parker,1966-12-14,7651,95562,PPO_GOLD
MEMBER_A_00129,Richard,Phillips,1948-05-26,0887,88260,EPO_BRONZE
MEMBER_A_00130, Robert,Bentley,1984-09-13,1612,07945,MEDICARE_A
MEMBER_A_00131,Raven,Gilbert,1959-11-11,6596,95449,EPO_BRONZE
MEMBER_A_00132,Amy,Smith,1958-12-08,5559,14323,HMO_SILVER
MEMBER_A_00133,Russell,Carpenter,1983-03-18,,25113,EPO_BRONZE
MEMBER_A_00134,Steven,Ramos,1954-02-07,3116,70293,MEDICARE_A
MEMBER_A_00135,Thomas,Santana,1992-07-14,7350,18374,EPO_BRONZE
MEMBER_A_00136,Gene,Miller,1974-01-07,6912,24051,PPO_GOLD
MEMBER_A_00137,Cynthia,Rogers,1994-01-05,4563,60638,HMO_SILVER
MEMBER_A_00138,Karen,Chambers,1954-10-29,4092,09881,EPO_BRONZE
MEMBER_A_00139,James,Johnson,1956-02-28,7260,72133,EPO_BRONZE
MEMBER_A_00140,Thomas,Atkinson,1944-10-21,1604,06631,MEDICARE_A
MEMBER_A_00141,Robert,Soto,1952-10-31,8856,01935,MEDICARE_A
MEMBER_A_00142,Heather,Snyder,1956-02-07,1528,98772,EPO_BRONZE
MEMBER_A_00143,Diana,Smith,1989-07-24,3872,21799,EPO_BRONZE
MEMBER_A_00144,Kayla,Rodriguez,1968-01-22,6658,63654,MEDICARE_A
MEMBER_A_00145,Gregory,Rubio,1974-03-08,7886,28017,HMO_SILVER
MEMBER_A_00146,Brent,Wright,1995-12-27,6570,07686,HMO_SILVER
MEMBER_A_00147,Stephen,Solis,1984-01-22,2697,49673,MEDICARE_A
MEMBER_A_00148,Vanessa,Larson,2002-09-13,0035,51174,PPO_GOLD
MEMBER_A_00149,Patricia,Salazar,1987-06-21,4345,59639,EPO_BRONZE
MEMBER_A_00150,William,Rivas,1976-02-28,4673,55445,PPO_GOLD
MEMBER_A_00151,Phyllis,Manning,1971-04-30,9105,86753,MEDICARE_A
MEMBER_A_00152,Jonathon,Wright,1982-01-31,7973,20290,PPO_GOLD
MEMBER_A_00153,Katie,Boyd,1981-05-13,3111,38891,PPO_GOLD
MEMBER_A_00154,Joshua,Jones,1958-11-09,3566,07666,EPO_BRONZE
MEMBER_A_00155,Joseph,flores,1975-08-25,9489,96435,HMO_SILVER
MEMBER_A_00156,Devon,Hall,1985-10-19,8883,07990,HMO_SILVER
MEMBER_A_00157,Jasmine,Brown,11/25/1966,5138,07493,PPO_GOLD
MEMBER_A_00158,Amy,Perry,1953-08-25,0821,76570,MEDICARE_A
MEMBER_A_00159,Robert,Stein,1978-07-19,7811,65910,MEDICARE_A
MEMBER_A_00160,Heather,Gates,1990-07-12,8701,20636,EPO_BRONZE
MEMBER_A_00161,Omar,Smith,1963-03-20,0931,66563,HMO_SILVER
MEMBER_A_00162,Karen,Castaneda,2002-12-04,1312,24357,MEDICARE_A
MEMBER_A_00163,Robert,Adkins,1976-01-17,1122,77993,MEDICARE_A
MEMBER_A_00164,Carrie,Walker,1954-06-25,1113,88502,MEDICARE_A
MEMBER_A_00165,Ryan,Johnson,1962-03-08,3853,52924,PPO_GOLD
MEMBER_A_00166,Erin,Powell,1950-11-22,1964,74669,HMO_SILVER
MEMBER_A_00167,Tanner,Anderson,1981-01-25,4033,75881,EPO_BRONZE
MEMBER_A_00168,Anthony,Long,1977-04-01,9740,05210,MEDICARE_A
MEMBER_A_00169,Anthony,Day,1948-12-15,1343,54949,PPO_GOLD
MEMBER_A_00170,Steven,Williams,1965-01-07,9562,74086,EPO_BRONZE
MEMBER_A_00171,Jason,Murphy,1990-03-29,8565,41468,MEDICARE_A
MEMBER_A_00172,Nicholas,Walton,1994-11-27,4272,26773,HMO_SILVER
MEMBER_A_00173,Johnny,Miller,1941-04-12,5147,31286,MEDICARE_A
MEMBER_A_00174,Amber,Cooke,1963-02-05,4351,51877,HMO_SILVER
MEMBER_A_00175,Debra,Harrington,1983-01-06,2144,88040,MEDICARE_A
MEMBER_A_00176,Karen,Herring,1953-02-26,4915,59930,PPO_GOLD
MEMBER_A_00177,Andrew,Hernandez,1948-04-30,5180,98549,EPO_BRONZE
MEMBER_A_00178,Elizabeth,Elliott,1954-05-21,1188,01221,PPO_GOLD
MEMBER_A_00179,Holly,Wang,1951-01-27,7508,81417,PPO_GOLD
MEMBER_A_00180,Catherine,Adkins,1947-07-23,9224,13105,HMO_SILVER
MEMBER_A_00181,Lori,Oconnell,1947-02-18,1200,70469,PPO_GOLD
MEMBER_A_00182,Anthony,Collins,1984-09-14,3492,66308,EPO_BRONZE
MEMBER_A_00183,Susan,Sanders,1987-03-11,4345,17362,HMO_SILVER
MEMBER_A_00184,Charles,Vaughn,1981-05-25,5718,09017,HMO_SILVER
MEMBER_A_00185,Curtis,Barton,1996-02-13,4002,48435,PPO_GOLD
MEMBER_A_00186,Caroline,Martinez,2004-12-06,4669,20677,EPO_BRONZE
MEMBER_A_00187,Kimberly,Reed,1968-04-09,7179,71201,EPO_BRONZE
MEMBER_A_00188,Mitchell,Hunter,1962-07-09,4956,80174,EPO_BRONZE
MEMBER_A_00189,Melissa,Short,1946-12-19,8666,01026,PPO_GOLD
MEMBER_A_00190,Susan,Reid,1994-09-10,9086,39241,MEDICARE_A
MEMBER_A_00191,Jasmine,graham,1988-06-05,1697,17602,PPO_GOLD
MEMBER_A_00192,Tammy,Nelson,1993-05-04,4333,15130,PPO_GOLD
MEMBER_A_00193,Amanda,Webb,1968-09-29,1753,97311,MEDICARE_A
MEMBER_A_00194,Jessica,Adams,1996-03-18,9064,20375,MEDICARE_A
MEMBER_A_00195,Mariah,Miller,1998-03-09,4462,36931,MEDICARE_A
MEMBER_A_00196,John,Marshall ,1980-04-12,9909,27608,MEDICARE_A
MEMBER_A_00197,Nicholas,Johnson,1996-02-29,5617,26686,HMO_SILVER
MEMBER_A_00198,Hunter,Lewis,1992-08-27,4325,66245,PPO_GOLD
MEMBER_A_00199,Matthew,Beard,1986-04-11,8004,32915,EPO_BRONZE
MEMBER_A_00200,Joshua,Smith,2002-07-27,0832,12098,PPO_GOLD
MEMBER_A_00201, Christopher,Cortez,1972-03-30,6939,36266,PPO_GOLD
MEMBER_A_00202, Katherine,Vaughn,1982-08-18,0722,00465,MEDICARE_A
MEMBER_A_00203,Travis,Mcguire,1946-02-21,5464,17147,EPO_BRONZE
MEMBER_A_00204,Jeffrey,Holt,1960-03-17,4291,21179,HMO_SILVER
MEMBER_A_00205,Bonnie,Kennedy,1975-01-15,7239,72310,HMO_SILVER
MEMBER_A_00206,Ronald,Reese,1961-10-31,7007,73520,MEDICARE_A
MEMBER_A_00207,Jacqueline,Nelson,1956-08-04,0158,14664,HMO_SILVER
MEMBER_A_00208,David,Lee,1947-11-21,1232,90574,EPO_BRONZE
MEMBER_A_00209,Amanda,Gill,1952-03-21,2442,71512,EPO_BRONZE
MEMBER_A_00210,Javier,Washington,1987-10-27,0590,48394,EPO_BRONZE
MEMBER_A_00211,Tiffany,Warren,1958-09-04,9543,72421,PPO_GOLD
MEMBER_A_00212,Craig,Lee,1955-01-05,2426,56334,HMO_SILVER
MEMBER_A_00213,Harry,Smith,1975-04-02,2088,05483,EPO_BRONZE
MEMBER_A_00214,Joshua,Mccann,1976-07-09,5050,47796,EPO_BRONZE
MEMBER_A_00215,Heidi,Martinez,1997-04-26,0653,46899,PPO_GOLD
MEMBER_A_00216, Travis,Salas,1977-11-20,3441,89400,MEDICARE_A
MEMBER_A_00217,Taylor,Alexander,1952-03-02,4088,87417,MEDICARE_A
MEMBER_A_00218,Brett,Everett,1971-07-13,1684,46358,EPO_BRONZE
MEMBER_A_00219,Lynn,Morales,1944-11-20,9173,53265,EPO_BRONZE
MEMBER_A_00220,Crystal,Brown,1949-11-05,2532,31030,PPO_GOLD
MEMBER_A_00221,Anna,Torres,2005-08-06,2662,23207,HMO_SILVER
MEMBER_A_00222,David,Duran,1980-01-06,6755,03249,EPO_BRONZE
MEMBER_A_00223,Krystal,Perez,1974-06-28,2938,96543,HMO_SILVER
MEMBER_A_00224,Shannon,Ramos,1996-10-08,5442,53965,EPO_BRONZE
MEMBER_A_00225,Veronica,Torres,1980-12-26,4065,34971,PPO_GOLD
MEMBER_A_00226,Chelsea,Singh,07/16/2002,2608,91918,PPO_GOLD
MEMBER_A_00227,Jared,Clark,1983-08-03,1771,50141,EPO_BRONZE
MEMBER_A_00228,Eric,Thompson,1944-12-14,0634,61695,PPO_GOLD
MEMBER_A_00229,Aaron,Hayes,1979-03-11,3644,26159,PPO_GOLD
MEMBER_A_00230,Kelly,Hall,1986-08-28,7541,45831,MEDICARE_A
MEMBER_A_00231,Jacqueline,Gibson,1985-05-14,5000,29832,MEDICARE_A
MEMBER_A_00232,Sandra,French,1981-04-02,3652,03102,PPO_GOLD
MEMBER_A_00233,Donna,Peck,1968-01-22,3164,52228,HMO_SILVER
MEMBER_A_00234,Amy,Holland,1999-12-15,5378,36518,MEDICARE_A
MEMBER_A_00235,Margaret,Jones,1950-12-13,1137,36586,MEDICARE_A
MEMBER_A_00236, Kyle,Curry,1977-07-26,5753,84081,MEDICARE_A
MEMBER_A_00237,Keith,Martinez,1985-06-14,8346,52387,HMO_SILVER
MEMBER_A_00238,Holly,Bender,1973-01-11,8785,43405,PPO_GOLD
MEMBER_A_00239,Troy,Miller,08/18/1942,0452,15119,EPO_BRONZE
MEMBER_A_00240,Ryan,Morris,1956-07-10,4279,23406,PPO_GOLD
MEMBER_A_00241,Christopher,Hayden,1995-03-04,9512,34796,HMO_SILVER
MEMBER_A_00242,Barbara,Sampson,2005-12-20,0626,14209,PPO_GOLD
MEMBER_A_00243,Emily,Adams,1942-08-27,9774,56960,PPO_GOLD
MEMBER_A_00244,Katelyn,Ruiz,1982-12-31,5663,95492,EPO_BRONZE
MEMBER_A_00245,Sabrina,White,1978-08-18,5139,57200,MEDICARE_A
MEMBER_A_00246,Cynthia,Vasquez,1946-01-08,9932,67034,PPO_GOLD
MEMBER_A_00247,Michael,Cook,1984-03-24,1894,50489,EPO_BRONZE
MEMBER_A_00248,Mia,Rivera,1985-10-12,9446,24915,PPO_GOLD
MEMBER_A_00249,Keith,Landry,1993-09-10,4173,05818,PPO_GOLD
MEMBER_A_00250,Andrea,Gibson,1960-10-03,7144,00222,EPO_BRONZE
MEMBER_A_00251,Marcus,Cordova,09/04/1966,8518,70576,HMO_SILVER
MEMBER_A_00252,Xavier,Travis,1983-05-28,3228,47740,HMO_SILVER
MEMBER_A_00253,Amy,Gutierrez,1952-05-18,7066,09172,PPO_GOLD
MEMBER_A_00254,Michael,Avila,1981-04-11,5409,81679,EPO_BRONZE
MEMBER_A_00255,Kathleen,Harris,1976-03-31,5143,86952,PPO_GOLD
MEMBER_A_00256, Sara,Kim,1986-01-31,2041,94340,EPO_BRONZE
MEMBER_A_00257,David,Dudley,1980-03-08,4920,66470,MEDICARE_A
MEMBER_A_00258,John,Moore,1976-05-09,5067,87411,HMO_SILVER
MEMBER_A_00259,Andrea,Davis,2005-06-27,6691,42754,HMO_SILVER
MEMBER_A_00260,Robin,Murray,1947-10-02,6592,91385,MEDICARE_A
MEMBER_A_00261,Marilyn,Jimenez,1987-04-18,4844,72668,MEDICARE_A
MEMBER_A_00262,William,Hill,1995-02-02,2085,25145,PPO_GOLD
MEMBER_A_00263,Tina,Sanchez,1976-05-19,6888,87154,MEDICARE_A
MEMBER_A_00264,Patrick,Weeks,1973-07-17,6211,88778,PPO_GOLD
MEMBER_A_00265,Natasha,Shields,1958-03-26,2851,80677,PPO_GOLD
MEMBER_A_00266,Kristy,Perry,2001-08-28,9324,39447,HMO_SILVER
MEMBER_A_00267,William,Hoover,1958-09-01,6653,71820,PPO_GOLD
MEMBER_A_00268,Kenneth,Matthews,2005-12-04,0006,39830,MEDICARE_A
MEMBER_A_00269,Tracy,Hernandez,1975-07-19,4700,27550,EPO_BRONZE
MEMBER_A_00270,Michael,Arnold,1975-11-12,7043,76020,EPO_BRONZE
MEMBER_A_00271,Stanley,Morris,1952-06-13,9939,85814,MEDICARE_A
MEMBER_A_00272,Heidi,Armstrong,1955-06-01,5279,60947,HMO_SILVER
MEMBER_A_00273, Kimberly,Williams,1989-02-23,7238,57955,EPO_BRONZE
MEMBER_A_00274,Janet,Shepherd,1965-06-24,3501,67001,PPO_GOLD
MEMBER_A_00275,Elizabeth,Hoover,2004-09-24,7752,96464,EPO_BRONZE
MEMBER_A_00276,Tyler,Johnson,1973-02-24,2780,86357,PPO_GOLD
MEMBER_A_00277,Brittany,Kane,1997-09-11,1389,37197,MEDICARE_A
MEMBER_A_00278,Scott,Fox,1970-02-26,8445,87013,EPO_BRONZE
MEMBER_A_00279,Jennifer,Ortiz,1983-03-20,5491,12241,EPO_BRONZE
MEMBER_A_00280,Eric,Harrison,2003-12-19,3848,88185,MEDICARE_A
MEMBER_A_00281,Matthew,Schwartz,1982-11-20,5085,29445,EPO_BRONZE
MEMBER_A_00282,Melissa,Phelps,1996-09-18,3262,19314,MEDICARE_A
MEMBER_A_00283,Norman,Stewart,1987-06-08,0400,06058,HMO_SILVER
MEMBER_A_00284,Katherine,Brennan,1942-05-15,4011,62278,EPO_BRONZE
MEMBER_A_00285,Casey,Welch,2000-10-11,1193,59693,EPO_BRONZE
MEMBER_A_00286,Wendy,Francis,1968-08-22,6790,82545,MEDICARE_A
MEMBER_A_00287,Corey,Schultz,1997-08-03,9431,25486,MEDICARE_A
MEMBER_A_00288,Scott,Benson,1999-08-16,6291,64800,HMO_SILVER
MEMBER_A_00289,Brandon,Flynn,1959-05-12,6547,31980,EPO_BRONZE
MEMBER_A_00290,Nicholas,Thomas,1975-01-21,2417,85991,HMO_SILVER
MEMBER_A_00291,Ashlee,Sparks,1951-03-21,0090,98431,MEDICARE_A
MEMBER_A_00292,Christian,Pitts,1980-11-24,1746,55725,MEDICARE_A
MEMBER_A_00293,John,Durham,1949-06-11,3585,23054,EPO_BRONZE
MEMBER_A_00294,Steven,King,1956-11-06,8486,60890,MEDICARE_A
MEMBER_A_00295,Albert,Ballard,1999-06-24,0822,73061,MEDICARE_A
MEMBER_A_00296,Erica,Moore,02/25/1969,4082,15907,PPO_GOLD
MEMBER_A_00297,Michael,Matthews,1982-03-03,7478,17478,EPO_BRONZE
MEMBER_A_00298,Roger,Wright,1995-10-15,7612,87501,EPO_BRONZE
MEMBER_A_00299,James,Cruz,11/22/1971,8702,73260,EPO_BRONZE
MEMBER_A_00300,John,Armstrong,1977-12-08,9755,41589,EPO_BRONZE
MEMBER_A_00301,Victoria,Phillips,2004-07-17,7251,80302,PPO_GOLD
MEMBER_A_00302,Dominique,Hill,1977-05-08,8270,55934,MEDICARE_A
MEMBER_A_00303,Gina,Garner,1943-03-28,8976,58447,PPO_GOLD
MEMBER_A_00304,Catherine,Crawford,1999-09-03,2607,97473,HMO_SILVER
MEMBER_A_00305,Justin,Lindsey,1980-01-24,7777,58992,HMO_SILVER
MEMBER_A_00306,Michael,Fields,1980-12-23,4246,98537,MEDICARE_A
MEMBER_A_00307,Erica,Le,1983-07-04,4050,83580,EPO_BRONZE
MEMBER_A_00308,Mary,Fuller,1999-08-16,4543,68328,MEDICARE_A
MEMBER_A_00309,Debbie,Parker,1969-02-03,7939,82150,PPO_GOLD
MEMBER_A_00310,Bethany,Oconnor,1945-12-12,3919,35993,MEDICARE_A
MEMBER_A_00311,Kenneth,Burgess,1951-08-04,7206,10156,PPO_GOLD
MEMBER_A_00312,David,Ryan,2004-02-12,4681,30736,EPO_BRONZE
MEMBER_A_00313,Alyssa,Mcintyre,1994-10-23,4451,44021,MEDICARE_A
MEMBER_A_00314,Jonathan,Summers,1971-10-20,5238,70799,MEDICARE_A
MEMBER_A_00315,Lindsay,Francis,1962-05-10,1320,18137,MEDICARE_A
MEMBER_A_00316,Darius,Mccarty,1949-04-16,2471,30312,EPO_BRONZE
MEMBER_A_00317,Tammy,Dalton,1987-10-18,6275,90958,HMO_SILVER
MEMBER_A_00318,Tina,Coffey,1993-02-06,2503,92592,EPO_BRONZE
MEMBER_A_00319,Michael,Gibbs,1940-12-01,3505,08419,MEDICARE_A
MEMBER_A_00320,Amanda,Gibson,1984-05-28,6797,53425,HMO_SILVER
MEMBER_A_00321,Emily,Richards,1994-04-12,5421,71122,PPO_GOLD
MEMBER_A_00322,Shelby,Rodriguez,1955-06-07,7633,54497,PPO_GOLD
MEMBER_A_00323,Angel,Henson,1977-01-19,1020,27111,MEDICARE_A
MEMBER_A_00324,Rose,Walker,1944-03-03,6883,51050,EPO_BRONZE
MEMBER_A_00325,Madison,Blankenship,1959-12-11,9569,91164,EPO_BRONZE
MEMBER_A_00326,Ricky,Taylor,2002-06-14,0320,75457,PPO_GOLD
MEMBER_A_00327,Kevin,Vasquez,1946-05-31,6232,62519,HMO_SILVER
