memberIdentifier,givenName,familyName,birthDate,taxIdLast4,postal_code,planName
MEMBER_C_00045,COURTNEY,Roberts,2003-02-20,9995,29016,Silver HMO
MEMBER_C_00046,DARIUS,Mccarty,1949-04-16,2471,30312,Silver HMO
MEMBER_C_00047,KATIE,Anderson,1971-05-15,3752,04208,Medicare Part A
MEMBER_C_00048,CHELSEA,Singh,2002-07-16,2608,91918,Gold PPO
MEMBER_C_00049,REBECCA,Bailey,568166400,5576,36656,Silver HMO
MEMBER_C_00050,JASON,Anderson,2001-09-28,4304,97913,Medicare Part A
MEMBER_C_00051,HELEN,Peterson,-623030400,1535,28658,Silver HMO
MEMBER_C_00052,JAVIER,Washington,562291200,0590,48394,Gold PPO
MEMBER_C_00053,DEBBIE,Parker,-28684800,7939,82150,Medicare Part A
MEMBER_C_00054,TAYLOR,Alexander,1952-03-02,4088,87417,Silver HMO
MEMBER_C_00055,ROBERT,Soto,1952-10-31,8856,01935,Silver HMO
MEMBER_C_00056,WILLIAM,Hill,1995-02-02,2085,25145,Gold PPO
MEMBER_C_00057,MICHAEL,Matthews,1982-03-03,7478,17478,Silver HMO
MEMBER_C_00058,RAYMOND,Lopez,1948-01-23,0475,50969,Medicare Part A
MEMBER_C_00059,JONATHAN,Fletcher,1940-02-10,7749,53355,Medicare Part A
MEMBER_C_00060,BRENDA,Sanchez,448329600,1768,64261,Medicare Part A
MEMBER_C_00061,JORGE,Griffin,1128384000,2240,82346,Medicare Part A
MEMBER_C_00062,LARRY,Wilson,2000-06-18,9608,73609,Bronze EPO
MEMBER_C_00063,CATHERINE,Adkins,1947-07-23,9224,13105,Gold PPO
MEMBER_C_00064,RUSSELL,Carpenter,1983-03-18,4073,25113,Medicare Part A
MEMBER_C_00065,CAROL,Smith,1959-11-23,8548,85257,Bronze EPO
MEMBER_C_00066,DAVID,Wood,1977-01-25,0609,39894,Silver HMO
MEMBER_C_00067,KYLE,Curry,1977-07-26,5753,84081,Silver HMO
MEMBER_C_00068,RACHEL,Wallace,1945-10-17,7222,04374,Silver HMO
MEMBER_C_00069,TINA,Silva,712627200,3394,76859,Medicare Part A
MEMBER_C_00070,RONALD,Ortega,1964-09-13,1874,73921,Medicare Part A
MEMBER_C_00071,KENNETH,Novak,1978-03-23,4371,84013,Medicare Part A
MEMBER_C_00072,DWAYNE,Gonzalez,1979-10-04,4526,72849,Bronze EPO
MEMBER_C_00073,MARIE,Parker,1943-10-28,4422,83887,Silver HMO
MEMBER_C_00074,KAITLYN,Cole,1975-03-30,8042,13447,Medicare Part A
MEMBER_C_00075,JESSICA,Martin,1965-01-16,1674,12157,Medicare Part A
MEMBER_C_00076,JOHN,Thomas,1968-04-30,3457,34688,Medicare Part A
MEMBER_C_00077,JOHN,Wheeler,1980-11-16,2927,66543,Gold PPO
MEMBER_C_00078,EMILY,Richards,1994-04-12,5421,71122,Gold PPO
MEMBER_C_00079,MEGAN,Garcia,1990-11-16,2939,39619,Silver HMO
MEMBER_C_00080,LANCE,Hayes,-828316800,8041,58744,Gold PPO
MEMBER_C_00081,CODY,Gregory,-355017600,3777,15815,Silver HMO
MEMBER_C_00082,NOAH,Baird,1994-01-04,0710,95322,Gold PPO
MEMBER_C_00083,AMANDA,Crosby,1947-08-12,4562,87685,Silver HMO
MEMBER_C_00084,AMANDA,Erickson,1959-10-14,9250,26897,Bronze EPO
MEMBER_C_00085,GABRIELLE,Cameron,1991-03-20,5881,45083,Gold PPO
MEMBER_C_00086,DENNIS,Hernandez,1989-05-07,2002,53846,Bronze EPO
MEMBER_C_00087,KAREN,Herring,1953-02-26,4915,59930,Bronze EPO
MEMBER_C_00088,CHRISTINA,Allen,1967-06-29,1330,20586,Silver HMO
MEMBER_C_00089,BECKY,Lewis,1983-05-06,5111,75471,Bronze EPO
MEMBER_C_00090,LISA,Evans,1983-10-13,5038,31386,Bronze EPO
MEMBER_C_00091,KYLE,Stokes,1970-12-15,0200,75244,Bronze EPO
MEMBER_C_00092,ANGEL,Doyle,1961-12-03,5539,2758,Bronze EPO
MEMBER_C_00093,ANDREA,Gibson,-291772800,7144,00222,Gold PPO
MEMBER_C_00094,BRANDY,Jackson,1981-07-07,4542,18965,Silver HMO
MEMBER_C_00095,BRANDON,Cooper,1944-03-16,9190,81491,Gold PPO
MEMBER_C_00096,ANTHONY,Williams,1982-05-02,3830,61798,Silver HMO
MEMBER_C_00097,ROBERT,Silva,1974-07-03,1743,81960,Bronze EPO
MEMBER_C_00098,LORI,Briggs,1955-08-05,9767,91906,Medicare Part A
MEMBER_C_00099,TINA,Coffey,1993-02-06,2503,92592,Bronze EPO
MEMBER_C_00100,ALICIA,Reese,1971-06-07,6211,42907,Gold PPO
MEMBER_C_00101,JARED,Clark,1983-08-03,1771,50141,Bronze EPO
MEMBER_C_00102,MARK,Hernandez,1999-06-08,6455,77581,Gold PPO
MEMBER_C_00103,JOHNNY,Miller,-906422400,5147,31286,Gold PPO
MEMBER_C_00104,JOE,Wilson,907459200,4315,65613,Bronze EPO
MEMBER_C_00105,ALICIA,Hammond,1994-05-04,4835,97854,Silver HMO
MEMBER_C_00106,ALBERT,Bradley,1947-01-30,9033,94482,Medicare Part A
MEMBER_C_00107,BRANDY,Davis,116208000,1773,45891,Gold PPO
MEMBER_C_00108,ALICIA,Edwards,1951-06-06,2854,34783,Silver HMO
MEMBER_C_00109,MATTHEW,Beard,1986-04-11,8004,32915,Gold PPO
MEMBER_C_00110,SHAWN,Jacobs,1946-07-18,0659,98859,Silver HMO
MEMBER_C_00111,PATRICK,Kane,1999-11-05,5062,44542,Bronze EPO
MEMBER_C_00112,JONATHON,Wright,1982-01-31,7973,20290,Bronze EPO
MEMBER_C_00113,BARBARA,Sampson,2005-12-20,0626,14209,Medicare Part A
MEMBER_C_00114,NICOLE,Russell,1980-12-17,8479,59178,Bronze EPO
MEMBER_C_00115,WILLIAM,Rivas,194313600,4673,55445,Medicare Part A
MEMBER_C_00116,TINA,Sanchez,1976-05-19,6888,87154,Gold PPO
MEMBER_C_00117,TRAVIS,Mcguire,-752976000,5464,17147,Silver HMO
MEMBER_C_00118,ELIZABETH,Elliott,1954-05-21,1188,1221,Bronze EPO
MEMBER_C_00119,JASMINE,Brown,-97891200,5138,7493,Silver HMO
MEMBER_C_00120,JACOB,Larson,459475200,0053,94647,Bronze EPO
MEMBER_C_00121,ANTHONY,Collins,1984-09-14,3492,66308,Bronze EPO
MEMBER_C_00122,KATHRYN,Berry,155952000,3770,79570,Gold PPO
MEMBER_C_00123,THEODORE,Reid,2004-09-29,6693,59049,Silver HMO
MEMBER_C_00124,VIRGINIA,Brooks,1941-11-10,4066,15526,Silver HMO
MEMBER_C_00125,ROBERT,Garcia,1972-04-18,8818,97979,Gold PPO
MEMBER_C_00126,ROSE,Walker,1944-03-03,6883,51050,Silver HMO
MEMBER_C_00127,JOSEPH,Flores,1975-08-25,9489,96435,Silver HMO
MEMBER_C_00128,PATRICK,Rose,1065657600,5582,24165,Bronze EPO
MEMBER_C_00129,BRIAN,Gray,2005-01-10,4119,72513,Bronze EPO
MEMBER_C_00130,GREGORY,Maxwell,1970-08-31,7438,09330,Silver HMO
MEMBER_C_00131,JONATHAN,Lopez,1988-08-12,6815,95632,Medicare Part A
MEMBER_C_00132,KENNETH,Burgess,1951-08-04,7206,10156,Medicare Part A
MEMBER_C_00133,MELISSA,Phelps,1996-09-18,3262,19314,Gold PPO
MEMBER_C_00134,ASHLEY,Kennedy,1991-10-14,9577,56156,Silver HMO
MEMBER_C_00135,SHANNON,Perez,1962-05-15,2496,31267,Gold PPO
MEMBER_C_00136,BREANNA,Shaw,1996-04-11,4808,56986,Silver HMO
MEMBER_C_00137,TYRONE,Robertson,1972-12-01,8850,54936,Silver HMO
MEMBER_C_00138,ELIZABETH,Miller,1083196800,3929,22783,Medicare Part A
MEMBER_C_00139,MARIA,Horton,1949-02-27,3697,68495,Medicare Part A
MEMBER_C_00140,KIMBERLY,Lane,555724800,9764,372,Gold PPO
MEMBER_C_00141,WILLIAM,Davis,1943-02-09,3150,92350,Silver HMO
MEMBER_C_00142,MELISSA,Short,1946-12-19,8666,01026,Medicare Part A
MEMBER_C_00143,RILEY,Morgan,1979-06-17,7434,35510,Bronze EPO
MEMBER_C_00144,SARAH,Johnson,1966-12-26,9977,86224,Gold PPO
MEMBER_C_00145,DANIELLE,Lynch,1950-02-01,1169,79841,Medicare Part A
MEMBER_C_00146,NATALIE,Deleon,1982-03-23,2306,98849,Medicare Part A
MEMBER_C_00147,NICHOLAS,Martin,1994-11-13,4494,05966,Gold PPO
MEMBER_C_00148,ERIN,Cisneros,-649468800,4837,2876,Bronze EPO
MEMBER_C_00149,JASON,Meza,66009600,3180,38830,Medicare Part A
MEMBER_C_00150,SARAH,Russell,1000598400,1076,16541,Bronze EPO
MEMBER_C_00151,NICHOLAS,Vega,1983-09-05,9733,66463,Silver HMO
MEMBER_C_00152,AMBER,Valdez,-222480000,6299,60649,Bronze EPO
MEMBER_C_00153,GREGORY,Medina,1974-11-26,9508,72656,Bronze EPO
MEMBER_C_00154,JESSICA,Walker,1940-03-24,0672,58948,Medicare Part A
MEMBER_C_00155,ANDREW,Evans,1984-06-13,9366,85438,Silver HMO
MEMBER_C_00156,AMY,Patel,1994-05-04,3084,42144,Medicare Part A
MEMBER_C_00157,JOHN,Reed,-372729600,9912,62342,Bronze EPO
MEMBER_C_00158,SHARON,Hardy,1947-06-13,8214,19774,Silver HMO
MEMBER_C_00159,LISA,Barnes,648691200,1013,59051,Medicare Part A
MEMBER_C_00160,NICOLE,Smith,1953-08-07,1695,45016,Bronze EPO
MEMBER_C_00161,CRAIG,Johnson,1979-06-15,1381,66133,Bronze EPO
MEMBER_C_00162,JACQUELINE,Williams,1988-11-15,2827,05131,Gold PPO
MEMBER_C_00163,RICHARD,Young,1954-05-04,4059,92750,Gold PPO
MEMBER_C_00164,MICHELLE,Brown,1973-04-03,7172,57596,Gold PPO
MEMBER_C_00165,KEITH,Cabrera,576720000,8586,68518,Silver HMO
MEMBER_C_00166,LUIS,Harper,1984-05-21,9991,20808,Bronze EPO
MEMBER_C_00167,MALIK,Turner,1949-06-15,5962,48871,Bronze EPO
MEMBER_C_00168,DONNA,Walker,-320976000,4634,50780,Gold PPO
MEMBER_C_00169,BRUCE,Fry,1998-01-22,6697,44351,Silver HMO
MEMBER_C_00170,RHONDA,Garrett,1968-03-12,9795,06864,Silver HMO
MEMBER_C_00171,TYLER,Compton,2002-02-21,5482,08640,Bronze EPO
MEMBER_C_00172,EMILY,Floyd,1961-01-13,5401,12388,Bronze EPO
MEMBER_C_00173,ROBERT,Hernandez,-162777600,9141,88917,Silver HMO
MEMBER_C_00174,KAREN,Wells,822182400,6333,37244,Bronze EPO
MEMBER_C_00175,KEVIN,Zimmerman,1993-03-07,4128,94862,Silver HMO
MEMBER_C_00176,ROBIN,Hart,1068854400,9874,19710,Silver HMO
MEMBER_C_00177,ANGELA,Anderson,1956-01-11,5461,10683,Gold PPO
MEMBER_C_00178,JAMES,Lucas,2000-11-12,9547,86981,Gold PPO
MEMBER_C_00179,MELANIE,Davis,1987-10-27,2317,45852,Medicare Part A
MEMBER_C_00180,JAMES,Adams,1984-06-17,5082,85991,Silver HMO
MEMBER_C_00181,CARRIE,Russo,1952-06-01,6421,16902,Bronze EPO
MEMBER_C_00182,KATHLEEN,Ramsey,217123200,9749,92909,Gold PPO
MEMBER_C_00183,TIMOTHY,Booth,1961-12-22,1388,40578,Silver HMO
MEMBER_C_00184,SUSAN,Smith,2001-11-07,9157,49373,Silver HMO
MEMBER_C_00185,SUZANNE,Wilson,1135036800,5381,16751,Gold PPO
MEMBER_C_00186,TIMOTHY,Sanchez,311990400,8624,12250,Medicare Part A
MEMBER_C_00187,JAMES,Herman,203040000,6937,66649,Gold PPO
MEMBER_C_00188,KIMBERLY,James,1975-03-22,5928,02390,Gold PPO
MEMBER_C_00189,MICHAEL,Green,121219200,5940,40484,Gold PPO
MEMBER_C_00190,TYLER,Garcia,2004-10-06,2953,28075,Silver HMO
MEMBER_C_00191,TERRANCE,Franco,2000-05-05,5598,63737,Bronze EPO
MEMBER_C_00192,NATHAN,Gutierrez,224812800,3145,29694,Bronze EPO
MEMBER_C_00193,JEFFREY,Thomas,1957-03-18,2253,20309,Silver HMO
MEMBER_C_00194,SARAH,Riley,1967-07-24,1264,38771,Silver HMO
MEMBER_C_00195,ELIJAH,Rivera,1965-01-25,1657,66544,Gold PPO
MEMBER_C_00196,MARTHA,Porter,1983-03-15,8843,96816,Bronze EPO
MEMBER_C_00197,GAIL,Scott,764380800,8626,04948,Gold PPO
MEMBER_C_00198,TAMMY,May,1972-05-18,5517,81007,Silver HMO
MEMBER_C_00199,GARY,Norton,1951-03-04,2147,78283,Medicare Part A
MEMBER_C_00200,JENNIFER,Freeman,2000-07-06,6172,20219,Medicare Part A
MEMBER_C_00201,AMBER,May,1943-11-16,2658,23704,Bronze EPO
MEMBER_C_00202,ARTHUR,Bradford,2002-05-19,2712,94527,Silver HMO
MEMBER_C_00203,ELIZABETH,Duran,1967-03-21,7170,05727,Bronze EPO
MEMBER_C_00204,MEGAN,Hall,526089600,6731,47750,Silver HMO
MEMBER_C_00205,ALBERT,Wagner,1964-08-18,3891,58223,Bronze EPO
MEMBER_C_00206,CHRISTINE,Estrada,1980-09-08,4668,98618,Bronze EPO
MEMBER_C_00207,TIMOTHY,Freeman,1940-06-08,7355,30672,Medicare Part A
MEMBER_C_00208,ANDREA,Smith,1974-12-10,8749,31349,Medicare Part A
MEMBER_C_00209,JOSHUA,Madden,1941-02-17,5070,61475,Medicare Part A
MEMBER_C_00210,LISA,Craig,732240000,3178,48214,Medicare Part A
MEMBER_C_00211,RENEE,Rodriguez,1946-05-10,9345,57750,Gold PPO
MEMBER_C_00212,EDUARDO,Lee,1974-09-29,7564,36933,Gold PPO
MEMBER_C_00213,LISA,Adams,1966-03-12,6256,65917,Gold PPO
MEMBER_C_00214,NATHAN,Sullivan,229910400,8641,54875,Gold PPO
MEMBER_C_00215,VERONICA,Perez,1985-02-22,2655,26175,Silver HMO
MEMBER_C_00216,MELANIE,Valdez,840672000,9906,18141,Bronze EPO
MEMBER_C_00217,KATHERINE,Davis,1965-01-11,4096,06840,Medicare Part A
MEMBER_C_00218,ANGELA,Brown,-927158400,7873,48656,Medicare Part A
MEMBER_C_00219,GEORGE,Porter,1968-08-20,9085,13447,Bronze EPO
MEMBER_C_00220,KRISTEN,Knight,1996-08-15,8452,16342,Medicare Part A
MEMBER_C_00221,CODY,Rice,1942-10-22,4670,10994,Medicare Part A
MEMBER_C_00222,JASON,Parrish,1998-07-30,2626,35756,Silver HMO
MEMBER_C_00223,THOMAS,Williams,1944-11-27,7361,67287,Bronze EPO
MEMBER_C_00224,SARA,Lam,1977-03-10,2414,57341,Silver HMO
MEMBER_C_00225,ANTONIO,Mcfarland,-291859200,1502,29103,Gold PPO
MEMBER_C_00226,SUZANNE,Matthews,1989-08-24,7391,45821,Silver HMO
MEMBER_C_00227,JENNIFER,Sanders,1945-01-28,0436,54382,Silver HMO
MEMBER_C_00228,FRANCISCO,Allen,1995-02-01,0872,51965,Gold PPO
MEMBER_C_00229,PAUL,Mosley,1961-11-22,8224,49016,Medicare Part A
MEMBER_C_00230,KARLA,Taylor,2005-03-28,3862,50616,Medicare Part A
MEMBER_C_00231,JENNIFER,Mason,2004-04-21,1337,49141,Bronze EPO
MEMBER_C_00232,BRIAN,Kim,1995-05-09,3678,03695,Gold PPO
MEMBER_C_00233,MATTHEW,Mack,2003-01-07,5221,12988,Medicare Part A
MEMBER_C_00234,RANDY,Ayala,1941-12-15,5493,19143,Medicare Part A
MEMBER_C_00235,JOSHUA,Riddle,1972-05-18,2254,5021,Medicare Part A
MEMBER_C_00236,MICHAEL,Pugh,-47347200,4700,61926,Bronze EPO
MEMBER_C_00237,ERIN,Guerrero,1945-08-27,2273,99463,Medicare Part A
MEMBER_C_00238,CHRISTINE,Yates,538444800,7685,58800,Medicare Part A
MEMBER_C_00239,CHRISTOPHER,Moore,1986-12-20,0086,10385,Medicare Part A
MEMBER_C_00240,CYNTHIA,Singh,1960-11-24,0311,33545,Medicare Part A
MEMBER_C_00241,DANIEL,Smith,1960-05-06,3533,19598,Gold PPO
MEMBER_C_00242,MICHAEL,Nelson,1948-09-29,8991,95321,Medicare Part A
MEMBER_C_00243,JACOB,Cole,1976-08-11,9975,69177,Bronze EPO
MEMBER_C_00244,RICKY,Johnson,1963-05-11,6934,14574,Gold PPO
MEMBER_C_00245,CHRISTOPHER,George,-271123200,4720,31148,Gold PPO
MEMBER_C_00246,PAUL,Carter,1965-08-05,4934,15971,Medicare Part A
MEMBER_C_00247,CHRISTOPHER,Santana,938476800,0782,31253,Bronze EPO
MEMBER_C_00248,TIFFANY,Armstrong,1951-03-11,6878,83749,Silver HMO
MEMBER_C_00249,OSCAR,Taylor,1959-11-16,7489,08233,Gold PPO
MEMBER_C_00250,TREVOR,Brown,1968-09-08,1816,65514,Bronze EPO
MEMBER_C_00251,ROBERT,Washington,-786585600,9776,70262,Bronze EPO
MEMBER_C_00252,JOHNATHAN,Wright,355017600,0269,82832,Medicare Part A
MEMBER_C_00253,BRITTNEY,Gonzalez,1947-01-22,8443,75373,Bronze EPO
MEMBER_C_00254,KEVIN,Rush,-254880000,3963,94182,Gold PPO
MEMBER_C_00255,CHRISTINE,Brock,1961-09-30,2352,38178,Medicare Part A
MEMBER_C_00256,MATTHEW,Ochoa,1996-09-22,7032,206,Medicare Part A
MEMBER_C_00257,TERRI,Taylor,-278985600,5780,31532,Bronze EPO
MEMBER_C_00258,STACEY,Harris,1960-09-25,9349,54601,Bronze EPO
MEMBER_C_00259,TAMARA,Novak,-339811200,3068,87081,Medicare Part A
MEMBER_C_00260,HEATHER,Henry,1978-01-03,1402,68615,Gold PPO
MEMBER_C_00261,JOHN,Bennett,1993-11-20,5908,08871,Bronze EPO
MEMBER_C_00262,PHILLIP,Wilson,1977-03-19,8618,71314,Medicare Part A
MEMBER_C_00263,BRITTANY,Gardner,1984-12-28,8312,66536,Gold PPO
MEMBER_C_00264,ANDREA,Benton,1970-06-19,9079,02666,Bronze EPO
MEMBER_C_00265,JEANETTE,Gonzales,1959-03-24,6397,61622,Medicare Part A
MEMBER_C_00266,HEATHER,Fuentes,1992-07-06,0713,83319,Gold PPO
MEMBER_C_00267,ROBERT,Porter,1981-10-19,6338,48930,Bronze EPO
MEMBER_C_00268,JOHN,Hopkins,1987-03-16,4155,97953,Silver HMO
MEMBER_C_00269,KRISTINA,Jones,2005-05-20,0266,46806,Medicare Part A
MEMBER_C_00270,TIMOTHY,Morales,1973-06-08,1106,45194,Gold PPO
MEMBER_C_00271,SAMANTHA,Holt,1975-11-18,3950,96069,Silver HMO
MEMBER_C_00272,KRYSTAL,Ward,1999-02-06,1698,76272,Medicare Part A
MEMBER_C_00273,AMANDA,Little,1945-08-10,5447,17487,Medicare Part A
MEMBER_C_00274,KAYLA,Sandoval,1963-06-06,0726,46177,Gold PPO
MEMBER_C_00275,DEBORAH,Williams,2004-11-30,8945,44375,Silver HMO
MEMBER_C_00276,ERICA,Ross,1989-09-04,2868,89743,Bronze EPO
MEMBER_C_00277,TAMMY,Jordan,1940-09-11,7612,91147,Gold PPO
MEMBER_C_00278,JONATHAN,Dixon,1974-03-29,7840,82803,Bronze EPO
MEMBER_C_00279,BEVERLY,Johnston,1969-06-02,2986,17676,Bronze EPO
MEMBER_C_00280,PETER,Barton,1978-11-05,1033,93854,Silver HMO
MEMBER_C_00281,VINCENT,Cooper,-895622400,7498,4848,Silver HMO
MEMBER_C_00282,DAN,Perry,2003-06-22,4807,26423,Medicare Part A
MEMBER_C_00283,DARREN,Shepard,1949-05-08,0717,26145,Gold PPO
MEMBER_C_00284,LARRY,Gibson,1953-08-26,0686,41366,Gold PPO
MEMBER_C_00285,TIMOTHY,Alvarez,1968-12-01,5080,67553,Silver HMO
MEMBER_C_00286,HEATHER,Flores,1959-10-26,6524,71177,Medicare Part A
MEMBER_C_00287,LISA,Wilson,1996-01-17,7756,33203,Gold PPO
MEMBER_C_00288,DEBORAH,Byrd,1950-11-05,0599,98736,Gold PPO
MEMBER_C_00289,TONYA,Sanchez,1951-07-07,3131,37502,Bronze EPO
MEMBER_C_00290,ETHAN,Castro,2003-04-04,5848,06266,Medicare Part A
MEMBER_C_00291,JESSE,Sullivan,1952-03-04,5438,35812,Silver HMO
MEMBER_C_00292,DANIELLE,Reynolds,1941-12-04,2039,48238,Gold PPO
MEMBER_C_00293,CHRISTINA,Gonzalez,1979-01-31,7159,52432,Bronze EPO
MEMBER_C_00294,PAUL,Bush,1953-07-31,7204,50679,Gold PPO
MEMBER_C_00295,KAREN,Stokes,1944-02-17,5554,24487,Medicare Part A
MEMBER_C_00296,CRISTIAN,Wiggins,1952-05-03,8129,90711,Medicare Part A
MEMBER_C_00297,MARK,Ellis,1957-04-25,8151,48149,Silver HMO
MEMBER_C_00298,MICHELLE,Rose,1982-03-07,8507,34960,Bronze EPO
MEMBER_C_00299,CANDICE,Carr,1978-09-28,1353,95301,Bronze EPO
MEMBER_C_00300,MICHAEL,Bruce,1980-09-29,6955,10346,Medicare Part A
MEMBER_C_00301,LISA,Mccarthy,1959-08-19,7055,78965,Bronze EPO
MEMBER_C_00302,CHRISTINA,Miller,1948-11-02,2956,71497,Bronze EPO
MEMBER_C_00303,DAVID,Torres,1952-01-30,4813,42102,Bronze EPO
MEMBER_C_00304,HEATHER,Dixon,-75686400,1680,10495,Gold PPO
MEMBER_C_00305,DEVIN,Reyes,1952-04-04,5372,86629,Gold PPO
MEMBER_C_00306,CYNTHIA,Steele,1982-08-02,4843,40174,Silver HMO
MEMBER_C_00307,ZOE,Peters,1972-04-25,7305,78987,Bronze EPO
MEMBER_C_00308,DONALD,Edwards,1969-10-06,6981,21843,Silver HMO
MEMBER_C_00309,BRIAN,Howard,1940-08-19,7272,46078,Medicare Part A
MEMBER_C_00310,DERRICK,Ochoa,2003-08-12,7325,05552,Bronze EPO
MEMBER_C_00311,WILLIAM,Simpson,479260800,5776,80590,Silver HMO
MEMBER_C_00312,ROBERT,Larsen,1972-04-02,7126,35987,Silver HMO
MEMBER_C_00313,CHRISTOPHER,Johnson,1990-03-25,0939,09836,Medicare Part A
MEMBER_C_00314,KELLY,Hill,1975-06-25,6655,47620,Gold PPO
MEMBER_C_00315,GARY,Ellis,1989-01-02,8406,98291,Medicare Part A
MEMBER_C_00316,KATIE,Dunn,1947-06-22,2621,04082,Bronze EPO
MEMBER_C_00317,DANNY,Hampton,1994-05-03,2339,79636,Gold PPO
MEMBER_C_00318,MICHAEL,Carson,1942-09-30,7179,04562,Gold PPO
MEMBER_C_00319,JENNIFER,Payne,2005-04-28,2068,08813,Bronze EPO
MEMBER_C_00320,CURTIS,Greer,1989-08-02,3866,84563,Gold PPO
MEMBER_C_00321,KENNETH,Kidd,1969-09-06,6001,47468,Medicare Part A
MEMBER_C_00322,MICHAEL,Montoya,1968-12-23,6272,74350,Medicare Part A
MEMBER_C_00323,VICTORIA,Rowe,1955-08-21,0530,79311,Gold PPO
MEMBER_C_00324,LISA,Matthews,-216518400,2513,89007,Silver HMO
MEMBER_C_00325,JENNIFER,Chen,1950-12-15,7371,48624,Bronze EPO
MEMBER_C_00326,DONALD,Clark,1953-08-28,6095,58189,Silver HMO
MEMBER_C_00327,BRIAN,Bell,1958-07-20,1259,75226,Bronze EPO
MEMBER_C_00328,AMBER,Morris,1986-06-19,2255,69398,Medicare Part A
MEMBER_C_00329,KEITH,Adams,1996-08-17,6012,52172,Medicare Part A
MEMBER_C_00330,TRICIA,Shelton,1946-04-14,5150,85140,Silver HMO
MEMBER_C_00331,SYDNEY,Floyd,966729600,4566,32718,Silver HMO
MEMBER_C_00332,VICTORIA,Camacho,1948-05-16,1858,03397,Silver HMO
MEMBER_C_00333,MICHELLE,Wright,1986-12-13,3048,65411,Gold PPO
MEMBER_C_00334,MARIA,Juarez,1984-08-18,8482,50724,Bronze EPO
